strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
706.0,0.9544,64.85,68.0919,63.2658,63.2659,70.7377,41.8837,3.2419,-1.5842,-1.5841,5.8877,-22.9663
707.0,0.9557,59.59,67.411,62.543,62.543,70.0606,40.8952,7.821,2.953,2.953,10.4706,-18.6948
708.0,0.9571,68.7,66.7339,61.8244,61.8244,69.3873,39.9068,-1.9661,-6.8756,-6.8756,0.6873,-28.7932
709.0,0.9584,57.33,66.0607,61.1101,61.1101,68.7178,38.9183,8.7307,3.7801,3.7801,11.3878,-18.4117
710.0,0.9598,68.03,65.3914,60.4001,60.4001,68.0521,37.9298,-2.6386,-7.6299,-7.6299,0.0221,-30.1002
711.0,0.9611,56.97,64.7259,59.6945,59.6945,67.3904,36.9413,7.7559,2.7245,2.7245,10.4204,-20.0287
712.0,0.9625,64.03,64.0643,58.9933,58.9933,66.7326,35.9528,0.0343,-5.0367,-5.0367,2.7026,-28.0772
713.0,0.9638,60.82,63.4066,58.2966,58.2965,66.0787,34.9643,2.5866,-2.5234,-2.5235,5.2587,-25.8557
714.0,0.9652,61.77,62.7529,57.6043,57.6042,65.4286,33.9758,0.9829,-4.1657,-4.1658,3.6586,-27.7942
715.0,0.9665,64.02,62.1031,56.9164,56.9164,64.7827,32.9874,-1.9169,-7.1036,-7.1036,0.7627,-31.0326
716.0,0.9679,53.94,61.4572,56.2331,56.2331,64.1405,31.9989,7.5172,2.2931,2.2931,10.2005,-21.9411
717.0,0.9692,50.74,60.8154,55.5543,55.5543,63.5024,31.0104,10.0754,4.8143,4.8143,12.7624,-19.7296
718.0,0.9706,63.23,60.1775,54.8801,54.88,62.8683,30.022,-3.0525,-8.3499,-8.35,-0.3617,-33.208
719.0,0.9719,57.47,59.5436,54.2104,54.2104,62.2381,29.0335,2.0736,-3.2596,-3.2596,4.7681,-28.4365
720.0,0.9733,61.75,58.9137,53.5454,53.5453,61.612,28.045,-2.8363,-8.2046,-8.2047,-0.138,-33.705
721.0,0.9747,57.0,58.2878,52.885,52.8849,60.9898,27.0565,1.2878,-4.115,-4.1151,3.9898,-29.9435
722.0,0.976,54.56,57.6659,52.2292,52.2292,60.3717,26.068,3.1059,-2.3308,-2.3308,5.8117,-28.492
723.0,0.9774,56.63,57.0481,51.5781,51.5781,59.7577,25.0796,0.4181,-5.0519,-5.0519,3.1277,-31.5504
724.0,0.9787,54.19,56.4344,50.9318,50.9317,59.1476,24.0911,2.2444,-3.2582,-3.2583,4.9576,-30.0989
725.0,0.9801,58.41,55.8247,50.2901,50.29,58.5417,23.1026,-2.5853,-8.1199,-8.12,0.1317,-35.3074
730.0,0.9868,54.0,52.8373,47.1531,47.153,55.5731,18.1602,-1.1627,-6.8469,-6.847,1.5731,-35.8398
735.0,0.9936,50.14,49.9525,44.1365,44.1363,52.7069,13.2178,-0.1875,-6.0035,-6.0037,2.5669,-36.9222
740.0,1.0003,47.21,47.1708,41.2419,41.2417,49.9441,8.2754,-0.0392,-5.9681,-5.9683,2.7341,-38.9346
745.0,1.0071,45.15,44.4926,38.4703,38.4702,47.2846,3.333,-0.6574,-6.6797,-6.6798,2.1346,-41.817
750.0,1.0139,42.45,41.918,35.8225,35.8223,44.7287,0.0,-0.532,-6.6275,-6.6277,2.2787,-42.45
755.0,1.0206,38.42,39.4465,33.2984,33.2982,42.276,0.0,1.0265,-5.1216,-5.1218,3.856,-38.42
760.0,1.0274,35.06,37.0777,30.8975,30.8974,39.9259,0.0,2.0177,-4.1625,-4.1626,4.8659,-35.06
765.0,1.0341,31.44,34.8106,28.619,28.6189,37.6776,0.0,3.3706,-2.821,-2.8211,6.2376,-31.44
770.0,1.0409,29.79,32.6443,26.4615,26.4613,35.53,0.0,2.8543,-3.3285,-3.3287,5.74,-29.79
775.0,1.0477,28.31,30.5772,24.423,24.4228,33.4816,0.0,2.2672,-3.887,-3.8872,5.1716,-28.31
780.0,1.0544,25.7,28.6079,22.5014,22.5012,31.531,0.0,2.9079,-3.1986,-3.1988,5.831,-25.7
785.0,1.0612,22.86,26.7344,20.6939,20.6938,29.6763,0.0,3.8744,-2.1661,-2.1662,6.8163,-22.86
790.0,1.0679,22.0,24.9548,18.9977,18.9976,27.9154,0.0,2.9548,-3.0023,-3.0024,5.9154,-22.0
795.0,1.0747,19.82,23.2669,17.4094,17.4093,26.2462,0.0,3.4469,-2.4106,-2.4107,6.4262,-19.82
800.0,1.0814,18.02,21.6682,15.9254,15.9254,24.6663,0.0,3.6482,-2.0946,-2.0946,6.6463,-18.02
805.0,1.0882,16.35,20.1564,14.5421,14.542,23.1733,0.0,3.8064,-1.8079,-1.808,6.8233,-16.35
810.0,1.095,14.87,18.7287,13.2553,13.2553,21.7643,0.0,3.8587,-1.6147,-1.6147,6.8943,-14.87
815.0,1.1017,13.66,17.3825,12.0611,12.0611,20.4368,0.0,3.7225,-1.5989,-1.5989,6.7768,-13.66
820.0,1.1085,11.57,16.1149,10.9551,10.9551,19.1879,0.0,4.5449,-0.6149,-0.6149,7.6179,-11.57
825.0,1.1152,10.13,14.923,9.9331,9.9331,18.0148,0.0,4.793,-0.1969,-0.1969,7.8848,-10.13
830.0,1.122,10.0,13.8038,8.9907,8.9907,16.9144,0.0,3.8038,-1.0093,-1.0093,6.9144,-10.0
835.0,1.1288,8.2,12.7545,8.1235,8.1236,15.8837,0.0,4.5545,-0.0765,-0.0764,7.6837,-8.2
840.0,1.1355,7.44,11.772,7.3274,7.3275,14.92,0.0,4.332,-0.1126,-0.1125,7.48,-7.44
845.0,1.1423,6.96,10.8533,6.5979,6.598,14.0201,0.0,3.8933,-0.3621,-0.362,7.0601,-6.96
850.0,1.149,6.33,9.9955,5.9309,5.9311,13.181,0.0,3.6655,-0.3991,-0.3989,6.851,-6.33
